Town,Inhabitants,y_lat,x_lon,node_id
Balatonföldvár,2319.0,46.84760000000006,17.87819756900006,5742149108
Balatonfüred,13185.0,46.96600972300007,17.86029983800006,9070317211
Balatonfűzfő,4509.0,47.06135500000005,18.04554032900006,1001267446
Balatongyörök,1519.0,46.77937995100007,17.34781000000004,4367396776
Balatonhenye,133.0,46.91810021300006,17.61593000000005,1110135236
Balatonkenese,2706.0,47.01433500000007,18.16642030300005,338790924
Balatonkeresztúr,1841.0,46.69159000000008,17.39221028800006,293249569
Balatonlelle,4897.0,46.76602000000003,17.69869315400007,446819652
Balatonmagyaród,479.0,46.59908723900003,17.18890500000003,685490883
Balatonmáriafürdő,892.0,46.70546500100005,17.38803576500004,2208159988
Balatonőszöd,591.0,46.80217392400004,17.80533500000007,436172632
Balatonrendes,202.0,46.82886500000006,17.58637285200007,500824396
Balatonszabadi,3011.0,46.90974000000006,18.15967301200004,1709163307
Balatonszárszó,2211.0,46.82456500100005,17.84010992900005,1770561437
Balatonszemes,1800.0,46.79083000000003,17.76354110700004,10221550596
Balatonszentgyörgy,1653.0,46.67792500000007,17.30178439900004,8038210506
Balatonszepezd,469.0,46.85780368200005,17.66180500000007,15732016
Balatonszőlős,646.0,46.97709162100006,17.82026005000006,35300067
Balatonudvari,396.0,46.91268000000008,17.80534746800004,1223062511
Balatonújlak,480.0,46.66202500000003,17.35386544000005,2846994884
Balatonvilágos,1467.0,46.97026988100004,18.17654000100003,1123369051
Balinka,936.0,47.29189554100003,18.11322000000007,12180365265
Balkány,5974.0,47.73989900100003,21.85497000000004,2097176036
Ballószög,4441.0,46.85201500000005,19.55935879100002,7674987206
Balmazújváros,17503.0,47.63541000000004,21.33934538500006,2434417223
Balogunyom,1154.0,47.15941000100003,16.65447493900007,1631805886
Balotaszállás,1518.0,46.32525500000003,19.59065857200005,411797187
Balsa,719.0,48.15103125900004,21.53472500000004,1835880436
Bálványos,616.0,46.78078000000005,17.96494842700002,733886996
Bana,1588.0,47.64552500000008,17.92512339000007,288944248
Bánd,725.0,47.11083000100007,17.81104431700004,2683397244
Bánfa,192.0,45.97287120584389,17.87671153963814,349083867
Bánhorváti,1331.0,48.22490000100004,20.49451246500007,3372273941
Bánk,733.0,47.92813500000005,19.17621968300006,3177345424
Bánokszentgyörgy,598.0,46.55828870623231,16.78945732160949,412813061
Bánréve,1205.0,48.30567999900006,20.36000417400004,3609804508
Bár,609.0,46.05632999900007,18.71726782400003,1579472306
Barabás,958.0,48.23249500000003,22.43494568600005,4535763485
Baracs,3669.0,46.89715991000003,18.89181654500004,686576771
Baracska,2876.0,47.26515000000006,18.76768767700003,2456939170
Báránd,2396.0,47.29648000000003,21.22634859100003,1208550333
Baranyahídvég,190.0,45.845047636439,18.024772287661,410437680
Baranyajenő,469.0,46.27803000000006,18.04143112700007,412162441
Baranyaszentgyörgy,120.0,46.25028754842977,18.02000414213915,412162441
Barbacs,792.0,47.65114000000005,17.29476236400006,419601376
Barcs,10354.0,46.00590500000004,17.45564119700003,1128047478
Bárdudvarnok,1171.0,46.29384852300007,17.67166500100006,15724092
Barlahida,138.0,46.71178857128617,16.70721573913388,550053020
Bárna,979.0,48.09576000000004,19.92244831400006,2829407611
Barnag,131.0,46.98692911128873,17.75289211980315,265449600
Bársonyos,775.0,47.51398649500004,17.91097500000006,418279167
Basal,222.0,46.07382000000007,17.78652191400005,356273467
Baskó,176.0,48.322855888391,21.33540738751453,1189241967
Báta,1530.0,46.15678000000003,18.79392234000005,220902859
Bátaapáti,376.0,46.21298397100003,18.59913000000006,410500896
Bátaszék,6260.0,46.17369000000008,18.70241832100004,1610064172
Baté,810.0,46.37321204121905,17.9508182029091,331516031
Bátmonostor,1544.0,46.10050000000007,18.91127506600003,1022900489
Bátonyterenye,11441.0,47.94763493500005,19.83633000000003,1887092375
Bátor,384.0,47.98836000100005,20.25905973100004,473407687
Bátorliget,614.0,47.75934500000005,22.27609918500008,2425728192
Battonya,5793.0,46.32551654800005,21.01936500000005,2130684254
Bátya,1990.0,46.46432755200004,18.95413500000006,288439773
Batyk,392.0,46.99252500000006,17.04402267000006,554880040
Bázakerettye,746.0,46.53160011100005,16.73022000100008,412785916
Bazsi,458.0,46.93761493800008,17.24784500000004,1311756596
Béb,285.0,47.33623999900004,17.59055610100006,2192806678
Becsehely,2007.0,46.44597000000005,16.80025772200003,10705449395
Becske,545.0,47.91586500000005,19.36441515300004,461241472
Becskeháza,35.0,48.5319622485916,20.83786371503336,2556841759
Becsvölgye,773.0,46.74761283200007,16.68563000000006,2803538381
Bedegkér,392.0,46.66200499900003,18.05839136100008,733856002
Bedő,410.0,47.16481500000003,21.75383089300004,130406955
Bejcgyertyános,427.0,47.14103992900004,16.95835500000004,2250539581
Békás,221.0,47.33270965300005,17.34028000000006,420294855
Bekecs,2434.0,48.13405500000005,21.16975498200003,10155805760
Békés,18564.0,46.77990000000005,21.09866806600007,6287291367
Békéscsaba,56732.0,46.67942000000005,21.10928515400008,3931427614
Békéssámson,2312.0,46.41101000100008,20.60723936200003,2396604479
Békésszentandrás,3546.0,46.84743000000003,20.46528408100005,6800072176
Bekölce,638.0,48.07954000000007,20.27101953300007,473407815
Bélapátfalva,2753.0,48.04701334900005,20.36499000000003,473407617
Bélavár,337.0,46.12872500000003,17.21589581000006,2077493514
Belecska,327.0,46.64725000000004,18.42421634700003,411322643
Beled,2541.0,47.46472500000004,17.10132063000003,418730704
Beleg,582.0,46.31248500000004,17.43768849300005,742212582
Belezna,649.0,46.34319500000004,16.92137846500003,412425557
Bélmegyer,848.0,46.87140500000004,21.17819785000006,415298654
Beloiannisz,1119.0,47.18691500000006,18.83016389000005,638425127
Belsősárd,97.0,46.64148305586897,16.47984589226047,443544545
Belvárdgyula,394.0,45.98869000100007,18.40565339900007,20930661
Benk,469.0,48.30085690100003,22.25083857000004,2052813882
Bénye,1284.0,47.34206500000005,19.54205221600006,465503160
Bér,379.0,47.87450500000006,19.49974597700003,2924723153
Bérbaltavár,530.0,47.00397500000003,16.96856005800004,603852119
Bercel,1698.0,47.87329500000004,19.42747046900007,736878447
Beregdaróc,1011.0,48.20602000100007,22.51288316900008,414710935
Beregsurány,882.0,48.15910221900003,22.55915500000003,283263814
Berekböszörmény,2001.0,47.07510500000006,21.66077810800004,411729297
Berekfürdő,1384.0,47.38892500000003,20.84397819500003,8914915642
Beremend,2324.0,45.78238500000003,18.42678526500003,408987743
Berente,1073.0,48.23941000000008,20.66338976400004,1792296025
Beret,331.0,48.34314884298512,21.01936053959895,472836957
Berettyóújfalu,14378.0,47.21756935400003,21.51823500000006,10048772727
Berhida,5942.0,47.11258500000008,18.14523780600007,1140684841
Berkenye,773.0,47.87606686100003,19.07476000000003,1451987107
Berkesd,839.0,46.08601762400008,18.40120500000006,408977186
Berkesz,769.0,48.08987864200003,21.97429500000004,1903071367
Bernecebaráti,810.0,48.02320000000003,18.95328234800007,8570215633
Berzék,989.0,48.02617500100007,20.97670151700004,262103225
Berzence,2381.0,46.20729500000004,17.13412560300003,1210310843
Besence,123.0,45.89430174718744,17.94966932808595,409554674
Besenyőd,820.0,47.96986500000003,22.02747310800004,966683942
Besenyőtelek,2613.0,47.68848000000003,20.43429988800006,416422486
Besenyszög,3220.0,47.26613500000008,20.26683938900004,11759257750
Besnyő,1828.0,47.20103500000005,18.77594971600007,1350205135
Beszterec,970.0,48.15702570100007,21.84725000000003,10134441291
Bezedek,207.0,45.86737500000004,18.60203966700004,4435003046
Bezenye,1564.0,47.94924000100008,17.23014793700003,279655454
